classification,picco,integral,pi_index,tidal_volume,resp_rate,rr_over_tv,etco2,first_value,last_value,intercetta,integral_after_max,before_concavity_counter,before_area_1,before_area_2,before_area_3,after_concavity_counter,after_area_1,after_area_2,after_area_3
1.0,13.06,517.0,25.3,0.24,40.0,166.666666667,9999.0,1.1,9.08,1.29102244389,179.54,2,0.0,0.0,0.0,0,0.0,0.0,0.0
1.0,13.14,457.0,28.8,0.231,41.0,177.489177489,9999.0,1.0,10.14,1.14109725686,119.3,2,0.0,0.0,0.0,0,0.0,0.0,0.0
1.0,11.22,436.0,25.7,0.249,41.0,164.658634538,9999.0,0.48,8.3,1.0902244389,141.44,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.0,13.42,495.0,27.1,0.248,41.0,165.322580645,9999.0,1.3,9.98,1.23625935162,92.76,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.0,11.5,359.0,32.0,0.257,41.0,159.53307393,9999.0,1.1,7.94,0.897356608479,98.9,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.0,16.04,589.0,27.2,0.18,41.0,227.777777778,9999.0,0.42,10.68,1.47097256858,121.88,3,0.0,0.0,0.0,0,0.0,0.0,0.0
1.0,11.64,387.0,30.1,0.304,41.0,134.868421053,9999.0,0.68,8.04,0.967930174564,143.8,1,0.0,0.0,0.0,0,0.0,0.0,0.0
1.0,16.36,575.0,28.5,0.218,41.0,188.073394495,9999.0,1.34,11.8,1.43760598504,112.08,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.0,12.74,394.0,32.3,0.255,41.0,160.784313725,9999.0,0.4,9.28,0.986284289277,133.78,1,0.0,0.0,0.0,0,0.0,0.0,0.0
1.0,13.58,521.0,26.1,0.233,41.0,175.965665236,9999.0,0.48,9.38,1.30204488778,142.2,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.0,15.18,480.0,31.6,0.273,41.0,150.183150183,9999.0,1.52,11.62,1.19930174564,136.78,0,0.0,0.0,0.0,0,0.0,0.0,0.0
1.0,15.96,535.0,29.8,0.257,41.0,159.53307393,9999.0,0.72,12.02,1.3357605985,110.88,0,0.0,0.0,0.0,0,0.0,0.0,0.0
